model,response,source_fit,quantity,factor_compared,held_fixed,contrast,estimate,lo,hi,pd,credible,pct_change,effect_size
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Secondary,Tropical open - Tropical closed,0.04707643955000007,-0.6150048469000006,0.7129579643500001,0.553,FALSE,4.820213011654384,0.04231754849400694
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Secondary,Tropical open - Temperate closed,-0.645820074,-1.4555390137499997,0.22995071572500048,0.93075,FALSE,-47.57675436277948,-0.5805350311352956
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Plantation,Temperate closed - Tropical closed,0.66053188,0.04936465607499993,1.2532096369999999,0.9825,TRUE,93.58216854702097,0.5937596413605059
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Plantation,Tropical open - Tropical closed,0.034393634500000214,-0.6383039505999998,0.691476706675,0.535,FALSE,3.4991935086482906,0.030916830366771165
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Plantation,Tropical open - Temperate closed,-0.6323619935,-1.4668057731500006,0.24735792015000055,0.9275,FALSE,-46.866469286588796,-0.5684374090627913
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Cropland,Temperate closed - Tropical closed,0.4734035790000002,-0.1642721697750005,1.0677868277500004,0.9345,FALSE,60.54491778230051,0.4255478770923517
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Cropland,Tropical open - Tropical closed,0.07556169849999983,-0.6099234959999995,0.7422921047500003,0.58175,FALSE,7.848976686622833,0.06792327268435638
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Cropland,Tropical open - Temperate closed,-0.4004238470000001,-1.2498893773600004,0.4802102281749998,0.81425,FALSE,-32.99640069031674,-0.3599455635463259
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Pasture,Temperate closed - Tropical closed,0.11334566499999998,-0.5510190153499996,0.7352297740000001,0.64025,FALSE,12.0019017417611,0.10188771115811705
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Pasture,Tropical open - Tropical closed,0.15453417245,-0.54259636275,0.8702348620000002,0.659,FALSE,16.711416052634466,0.13891253032609807
A2c,Relative abundance,fitted with sexual dichromatism (z),Level mean,Biome,Land use = Pasture,Tropical open - Temperate closed,0.03979243140000022,-0.80850624575,0.927229402,0.536,FALSE,4.059475697709547,0.03576987048214336
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Biome,NA,Temperate closed - Tropical closed,0.017539463499999908,-0.06395681662500023,0.10099197600000018,0.6525,FALSE,1.769418313270621,0.015766423805942006
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Biome,NA,Tropical open - Tropical closed,-0.03169704449999999,-0.10945688625000037,0.04347413044999993,0.78725,FALSE,-3.1199959074734163,-0.028492834856824762
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Biome,NA,Tropical open - Temperate closed,-0.0487578961500006,-0.15791536560000038,0.06025035894750038,0.81425,FALSE,-4.75883156761433,-0.04382902901146443
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Land use,NA,Secondary - Primary vegetation,0.012518157500000257,-0.015532040450000362,0.0405912569250004,0.807,FALSE,1.2596837600790334,0.011252714566471006
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Land use,NA,Plantation - Primary vegetation,0.016657279499999955,-0.014183689424999925,0.047925664224999755,0.844,FALSE,1.6796785500569733,0.014973418545614603
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Land use,NA,Cropland - Primary vegetation,0.0025940530500002295,-0.03964199307500005,0.046447926225000026,0.543,FALSE,0.25974205167795805,0.002331823875992575
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Land use,NA,Pasture - Primary vegetation,0.005196659350000058,-0.07528053775000029,0.08653891344999964,0.5505,FALSE,0.5210185404148637,0.0046713363659733635
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Land use,NA,Plantation - Secondary,0.004035007014999703,-0.0299796523975004,0.03731518547499946,0.59825,FALSE,0.4043158616040099,0.003627113831528236
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Land use,NA,Cropland - Secondary,-0.01025956188950006,-0.05427467485500079,0.03266252139999969,0.66375,FALSE,-1.0207112108260419,-0.009222437209276665
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Land use,NA,Pasture - Secondary,-0.007882999599999756,-0.08970602058249957,0.07392629880500003,0.573,FALSE,-0.7852010241816698,-0.007086118258729414
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Land use,NA,Cropland - Plantation,-0.014099713500000277,-0.06080700902499927,0.033161894545000126,0.72425,FALSE,-1.400077807250466,-0.012674393295061015
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Land use,NA,Pasture - Plantation,-0.011107668284999614,-0.09659512657499973,0.07519677353750001,0.606,FALSE,-1.1046205915993368,-0.00998480972220877
A2c,Relative abundance,fitted with sexual dichromatism (z),Colour slope,Land use,NA,Pasture - Cropland,0.0026909451499999015,-0.08210081834749978,0.08943132260750068,0.52125,FALSE,0.2694568992691604,0.0024189212898925246
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical closed,Plantation - Secondary,-0.0015253431499999987,-0.0035225737700000015,4.4344578424999876e-4,0.93475,FALSE,NA,-0.02687526638149421
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical closed,Cropland - Secondary,-0.003868742100000001,-0.005677940405,-0.0020599157925000012,1,TRUE,NA,-0.06816398952511205
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical closed,Pasture - Secondary,-0.0013582436,-0.005107337525,0.0024630176449999975,0.753,FALSE,NA,-0.023931112524391448
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical closed,Cropland - Plantation,-0.002339867141499998,-0.004355565790249998,-3.673164550000037e-4,0.990125,TRUE,NA,-0.041226495641402336
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical closed,Pasture - Plantation,2.209060899999999e-4,-0.00355486869,0.004011493758249993,0.541375,FALSE,NA,0.0038921799426210007
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Tropical closed,Pasture - Cropland,0.002541817049999999,-0.0011954987249999992,0.0062699595897499965,0.9055,FALSE,NA,0.04478468357220067
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Temperate closed,Plantation - Secondary,2.6479373000000135e-4,-0.0128337302725,0.013779880808999988,0.517,FALSE,NA,0.004665443333127695
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Temperate closed,Cropland - Secondary,-2.0679400000000016e-4,-0.013970124865,0.014063847352499999,0.513375,FALSE,NA,-0.0036435367583318693
A2d,Abundance change vs primary,fitted with male colourfulness (z),Level mean,Land use,Biome = Temperate closed,Pasture - Secondary,-3.5484410000000035e-4,-0.01401754176,0.013908636674999973,0.522625,FALSE,NA,-0.006252055290903943
