model,parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell,sparse_trophic
dichrodale,Predominant_simplePlantationforest:Trophic.NicheHerbivoreterrestrial,-0.007264025695130667,0.4953426868896788,-0.97310397275,0.9729796184999995,FALSE,TRUE
dichrodale,Predominant_simpleSecondary:Trophic.NicheHerbivoreterrestrial,0.18807497249311167,0.35703471211848725,-0.49711330425000005,0.8840235929999998,FALSE,TRUE
dichrodale,Predominant_simpleCropland:Trophic.NicheInvertivore,0.0025118874547049998,0.11537248026870786,-0.22958169450000002,0.2259901074999999,FALSE,FALSE
dichrodale,Predominant_simplePasture:Trophic.NicheInvertivore,0.053072713295274666,0.060650719887304916,-0.066387782575,0.17152510524999998,FALSE,FALSE
dichrodale,Predominant_simplePlantationforest:Trophic.NicheInvertivore,0.039613014734276336,0.06189756912403318,-0.07888319820000002,0.1656659577499999,FALSE,FALSE
dichrodale,Predominant_simpleSecondary:Trophic.NicheInvertivore,-0.008178447248208483,0.041794341476610784,-0.090666723625,0.07406909764999989,FALSE,FALSE
dichrodale,Predominant_simpleCropland:Trophic.NicheNectarivore,0.035022397734863,0.11681508470850968,-0.194897111,0.2595431727499999,FALSE,FALSE
dichrodale,Predominant_simplePasture:Trophic.NicheNectarivore,0.047422767388646,0.06446367120827907,-0.07779480379999999,0.17129309624999994,FALSE,FALSE
dichrodale,Predominant_simplePlantationforest:Trophic.NicheNectarivore,0.09355221340030415,0.06393404580673272,-0.029448971775,0.22104003249999998,FALSE,FALSE
dichrodale,Predominant_simpleSecondary:Trophic.NicheNectarivore,0.03540702494160967,0.04399970583066911,-0.050373306175,0.1212865569999999,FALSE,FALSE
dichrodale,Predominant_simpleCropland:Trophic.NicheOmnivore,-0.04408937504572217,0.11532977960553734,-0.2753715505,0.18059433249999932,FALSE,FALSE
dichrodale,Predominant_simplePasture:Trophic.NicheOmnivore,-0.03316676509204745,0.06076497891865236,-0.15224123375000004,0.08538351619999998,FALSE,FALSE
dichrodale,Predominant_simplePlantationforest:Trophic.NicheOmnivore,0.03889406807722133,0.06203033473492867,-0.07953913412500001,0.1640926557499999,FALSE,FALSE
dichrodale,Predominant_simpleSecondary:Trophic.NicheOmnivore,-0.0012767054881148868,0.04180003748439076,-0.0842043253,0.08136989444999997,FALSE,FALSE
malecoldale,Intercept,4.074432291966667,0.03082248018973067,4.0134679375,4.132957940000001,FALSE,FALSE
malecoldale,Biome4TemperateForest,-0.015743546119420165,0.01168062458873041,-0.039040694225,0.006836920274999971,FALSE,FALSE
malecoldale,Biome4TemperateOpen,-0.034196833031855514,0.02065118718510526,-0.074425677075,0.00607482708999998,FALSE,FALSE
malecoldale,Biome4TropicalOpen,-0.015525951330467384,0.009151456154739964,-0.0336523902,0.0021608409849999954,FALSE,FALSE
malecoldale,Predominant_simpleCropland,-0.02097329048002833,0.12065445358414353,-0.247546555,0.21894087474999988,FALSE,FALSE
malecoldale,Predominant_simplePasture,-0.030441985305408165,0.06677701115263904,-0.15922219825,0.1028201437499998,FALSE,FALSE
malecoldale,Predominant_simplePlantationforest,0.031190915338477166,0.06861728135299715,-0.10082104125000001,0.16674958224999983,FALSE,FALSE
malecoldale,Predominant_simpleSecondary,-0.0056048307845997,0.04739753980390231,-0.09579055410000001,0.088331162375,FALSE,FALSE
malecoldale,Trophic.NicheFrugivore,-0.13971123874116667,0.03076721329749073,-0.19940001,-0.07766156575000001,FALSE,FALSE
malecoldale,Trophic.NicheGranivore,-0.052801070058251166,0.030948750245927806,-0.1118738955,0.009603302854999968,FALSE,FALSE
malecoldale,Trophic.NicheHerbivoreterrestrial,0.035322747617092,0.3570323660381959,-0.65373720875,0.727878458749999,FALSE,TRUE
malecoldale,Trophic.NicheInvertivore,-0.16236771251633333,0.03042365558278617,-0.22050424049999998,-0.10098794850000001,FALSE,FALSE
malecoldale,Trophic.NicheNectarivore,-0.16684566700716666,0.032156974241492574,-0.22761793275,-0.10159396675,FALSE,FALSE
malecoldale,Trophic.NicheOmnivore,-0.15952743728266666,0.030378341395265407,-0.21828632425,-0.09866748352500003,FALSE,FALSE
malecoldale,z_logMass,0.022131828856666667,0.001510203424702401,0.01913723355,0.025049433325,FALSE,FALSE
malecoldale,Biome4TemperateForest:Predominant_simpleCropland,-0.035805710442216664,0.009880452295729253,-0.055343562699999994,-0.01663504945000003,FALSE,FALSE
malecoldale,Biome4TemperateOpen:Predominant_simpleCropland,-0.008191859654905816,0.023930846587345168,-0.05485534955,0.03873221167499999,FALSE,FALSE
malecoldale,Biome4TropicalOpen:Predominant_simpleCropland,0.014704308341271084,0.009152625771830385,-0.0036033237925,0.03285457737499999,FALSE,FALSE
malecoldale,Biome4TemperateForest:Predominant_simplePasture,-0.0190648970905122,0.012928571579087594,-0.044126388575,0.005797251069999995,FALSE,FALSE
malecoldale,Biome4TemperateOpen:Predominant_simplePasture,-0.020736713529033,0.023754240061039125,-0.065746454825,0.02548434069999998,FALSE,FALSE
malecoldale,Biome4TropicalOpen:Predominant_simplePasture,-0.022328759966624333,0.010501546090408454,-0.04287566075,-0.0014846593425000203,FALSE,FALSE
malecoldale,Biome4TemperateForest:Predominant_simplePlantationforest,-0.008812575245422283,0.008650152222722873,-0.02594532555,0.008278447557499988,FALSE,FALSE
malecoldale,Biome4TemperateOpen:Predominant_simplePlantationforest,-0.003911133052229167,0.4892573226207263,-0.9373066615000001,0.9397239724999992,TRUE,FALSE
malecoldale,Biome4TropicalOpen:Predominant_simplePlantationforest,-0.005393270438344417,0.0071828533867911906,-0.019261136625,0.008847999497499986,FALSE,FALSE
malecoldale,Biome4TemperateForest:Predominant_simpleSecondary,0.0020280006245841,0.006881573786128891,-0.0114814771,0.01528833485,FALSE,FALSE
malecoldale,Biome4TemperateOpen:Predominant_simpleSecondary,0.004330067790405367,0.022803736313572368,-0.040589024,0.048474799974999976,FALSE,FALSE
malecoldale,Biome4TropicalOpen:Predominant_simpleSecondary,3.7029753643525164e-4,0.006234393293068418,-0.01163809905,0.012584569899999983,FALSE,FALSE
malecoldale,Predominant_simpleCropland:z_logMass,0.0093583720810095,0.0031447937055775043,0.0031554320725,0.015519468849999999,FALSE,FALSE
malecoldale,Predominant_simplePasture:z_logMass,0.02430204298366667,0.003341569765096003,0.017787667774999998,0.030697924425,FALSE,FALSE
malecoldale,Predominant_simplePlantationforest:z_logMass,-0.004038083603219382,0.002398715402739955,-0.008788259205000001,6.557881897499978e-4,FALSE,FALSE
malecoldale,Predominant_simpleSecondary:z_logMass,-0.00130300549008856,0.0022874982425364595,-0.005950239405,0.0030580638899999992,FALSE,FALSE
malecoldale,Predominant_simpleCropland:Trophic.NicheFrugivore,0.07403540909736207,0.12090008874275053,-0.1649643955,0.30074924174999995,FALSE,FALSE
malecoldale,Predominant_simplePasture:Trophic.NicheFrugivore,0.07203088353905433,0.06934415939618815,-0.0665038457,0.2071110845,FALSE,FALSE
malecoldale,Predominant_simplePlantationforest:Trophic.NicheFrugivore,-0.07572369676297507,0.0688812561499641,-0.21164157275,0.056735369424999994,FALSE,FALSE
malecoldale,Predominant_simpleSecondary:Trophic.NicheFrugivore,0.028597623393267716,0.04781379428727998,-0.066441451175,0.12058887849999995,FALSE,FALSE
malecoldale,Predominant_simpleCropland:Trophic.NicheGranivore,-0.024791360324884167,0.12096037022497312,-0.26202871175000003,0.20306913899999993,FALSE,FALSE
malecoldale,Predominant_simplePasture:Trophic.NicheGranivore,-0.018150777880602834,0.0670865147542325,-0.1521271765,0.11083100649999982,FALSE,FALSE
malecoldale,Predominant_simplePlantationforest:Trophic.NicheGranivore,-0.024622226903235317,0.06906404244770188,-0.1595850985,0.10700290074999992,FALSE,FALSE
malecoldale,Predominant_simpleSecondary:Trophic.NicheGranivore,0.03154853253070533,0.04821380814050386,-0.063668306525,0.12419442249999996,FALSE,FALSE
malecoldale,Predominant_simpleCropland:Trophic.NicheHerbivoreterrestrial,0.0018205456803864998,0.4967353068687944,-0.9673372665000001,0.9535206245,FALSE,TRUE
malecoldale,Predominant_simplePasture:Trophic.NicheHerbivoreterrestrial,-0.010623341692961667,0.5035822724429837,-0.99795439025,0.9902700295,FALSE,TRUE
malecoldale,Predominant_simplePlantationforest:Trophic.NicheHerbivoreterrestrial,0.005790162753106833,0.49745601777367776,-0.98287574975,0.9841532502499996,FALSE,TRUE
malecoldale,Predominant_simpleSecondary:Trophic.NicheHerbivoreterrestrial,0.024429414123163334,0.35614444795639977,-0.66891727875,0.7214996367499993,FALSE,TRUE
malecoldale,Predominant_simpleCropland:Trophic.NicheInvertivore,0.043042017748174836,0.1206418114507854,-0.19493415475000003,0.26942000399999994,FALSE,FALSE
malecoldale,Predominant_simplePasture:Trophic.NicheInvertivore,0.058332381089992835,0.06665170680327515,-0.07432098955000001,0.18736585299999975,FALSE,FALSE
