model,parameter,Estimate,Est.Error,Q2.5,Q97.5,prior_only_empty_cell,sparse_trophic
dichrocooney,Predominant_simpleCropland:Trophic.NicheOmnivore,0.0393444573917755,0.147224274568364,-0.24375708900000004,0.32781060999999967,FALSE,FALSE
dichrocooney,Predominant_simplePasture:Trophic.NicheOmnivore,-0.06476228090694308,0.08752452452611402,-0.237962862,0.10263166199999978,FALSE,FALSE
dichrocooney,Predominant_simplePlantationforest:Trophic.NicheOmnivore,0.11303744908049966,0.09130213130917386,-0.06492043815000001,0.29409242399999996,FALSE,FALSE
dichrocooney,Predominant_simpleSecondary:Trophic.NicheOmnivore,-0.024827566222092316,0.068343004854464,-0.157911668,0.10720904474999988,FALSE,FALSE
malecolcooney,Intercept,4.7090753582666665,0.07142227381118572,4.566154340000001,4.848816072499999,FALSE,FALSE
malecolcooney,Biome4TemperateForest,-0.12301495339960167,0.0393415002215549,-0.20138218,-0.04592363467500003,FALSE,FALSE
malecolcooney,Biome4TemperateOpen,-0.11752990256978683,0.05912771207340002,-0.2323589435,-0.0011902272047500816,FALSE,FALSE
malecolcooney,Biome4TropicalOpen,-0.04887447197898967,0.024444959079645265,-0.09610714637500001,-4.897660505000165e-4,FALSE,FALSE
malecolcooney,Predominant_simpleCropland,-0.20495850909553667,0.18434319576948605,-0.56407226525,0.1588540989999997,FALSE,FALSE
malecolcooney,Predominant_simplePasture,-0.09205264870317817,0.13250321621664532,-0.3517680345,0.16505196625000002,FALSE,FALSE
malecolcooney,Predominant_simplePlantationforest,-0.006206088045991834,0.13960927050468547,-0.27908418275,0.26080808149999996,FALSE,FALSE
malecolcooney,Predominant_simpleSecondary,-0.03871724700246515,0.10518135744616743,-0.2460351665,0.16803375249999966,FALSE,FALSE
malecolcooney,Trophic.NicheFrugivore,0.11008929162174784,0.06938331776021504,-0.0259509599,0.24671793674999995,FALSE,FALSE
malecolcooney,Trophic.NicheGranivore,0.023595037254683534,0.07067817214697382,-0.11201398975,0.16246068024999993,FALSE,FALSE
malecolcooney,Trophic.NicheHerbivoreterrestrial,0.079958655974075,0.3685555327844018,-0.63490849,0.7894882794999994,FALSE,TRUE
malecolcooney,Trophic.NicheInvertivore,-0.14101316992490567,0.06872831806959785,-0.2732577435,-0.005409234497500029,FALSE,FALSE
malecolcooney,Trophic.NicheNectarivore,0.09977527742111526,0.07316823528648897,-0.04208618505,0.24258122474999996,FALSE,FALSE
malecolcooney,Trophic.NicheOmnivore,-0.03575090598769885,0.06899718689022552,-0.1699725045,0.09889952182499989,FALSE,FALSE
malecolcooney,z_logMass,-0.12273417039166666,0.004003787338955066,-0.13069550700000002,-0.11474418775000002,FALSE,FALSE
malecolcooney,Biome4TemperateForest:Predominant_simpleCropland,0.0114311619836901,0.02510797930573324,-0.039253147925,0.059246568400000005,FALSE,FALSE
malecolcooney,Biome4TemperateOpen:Predominant_simpleCropland,-0.0052301179860089995,0.062254256399193214,-0.12748821600000002,0.1146601569999999,FALSE,FALSE
malecolcooney,Biome4TropicalOpen:Predominant_simpleCropland,0.037683265994711335,0.02357746795205661,-0.00836019778,0.083543907425,FALSE,FALSE
malecolcooney,Biome4TemperateForest:Predominant_simplePasture,0.050236098194674464,0.03285657578099991,-0.013333591550000001,0.11509948075,FALSE,FALSE
malecolcooney,Biome4TemperateOpen:Predominant_simplePasture,0.016001067348368668,0.06238584071695378,-0.10621665100000001,0.13892516274999978,FALSE,FALSE
malecolcooney,Biome4TropicalOpen:Predominant_simplePasture,-0.014220888844272816,0.02664062319948886,-0.067140753375,0.036876696674999966,FALSE,FALSE
malecolcooney,Biome4TemperateForest:Predominant_simplePlantationforest,0.024349892732889133,0.022455785744183648,-0.019403192700000002,0.06764365052499999,FALSE,FALSE
malecolcooney,Biome4TemperateOpen:Predominant_simplePlantationforest,0.005365868828806666,0.5022306421642142,-0.98782926175,1.0082788149999997,TRUE,FALSE
malecolcooney,Biome4TropicalOpen:Predominant_simplePlantationforest,0.064134284591825,0.018492789344001014,0.027974952575,0.09966428327499999,FALSE,FALSE
malecolcooney,Biome4TemperateForest:Predominant_simpleSecondary,-0.0012812156953931533,0.01830221247606335,-0.03666938207500001,0.03469676624999997,FALSE,FALSE
malecolcooney,Biome4TemperateOpen:Predominant_simpleSecondary,0.023706034484541633,0.06259987116948447,-0.09839375015,0.14278219699999992,FALSE,FALSE
