response,parameter,Estimate,Est.Error,l-95% CI,u-95% CI,Rhat,Bulk_ESS,Tail_ESS
dichrocooney,Trophic.NicheOmnivore,-0.13226864967460333,0.043855560539540324,-0.21911799174999996,-0.046893589125,1.004073411894531,957.2616833799812,2168.5364676523473
dichrocooney,Predominant_simpleCropland:z_logMass,0.023825920454416668,0.004768113731743819,0.014399144625,0.033236350149999996,1.0003877157990035,9557.314668095958,4947.96063275177
dichrocooney,Predominant_simplePasture:z_logMass,0.030171609315666665,0.00515955032162487,0.020016050875,0.040427077299999996,1.0010776374939616,8322.765250853876,4862.428913573161
dichrocooney,Predominant_simplePlantationforest:z_logMass,-0.015342258339466666,0.0037207096900305557,-0.022612576475,-0.0081045685475,0.9995047660789166,8370.2026484685,5463.246036746582
dichrocooney,Predominant_simpleSecondary:z_logMass,-0.010901565317481666,0.0034531434208680475,-0.0177906772,-0.004233735160000002,1.0005618545942248,8134.802344575688,4777.683770446986
dichrocooney,Predominant_simpleCropland:Biome4TemperateForest,-0.10480952453566666,0.01291187882774943,-0.12960430225,-0.07937159662500001,1.0006488882023086,8141.547506524372,4870.132432734205
dichrocooney,Predominant_simplePasture:Biome4TemperateForest,-0.08047295766645,0.01781311664405793,-0.11535733449999998,-0.045660400025000006,1.0003465131641591,8057.380639897776,4949.673754674806
dichrocooney,Predominant_simplePlantationforest:Biome4TemperateForest,-0.073546514389,0.01080247638125996,-0.09456095825,-0.052536454875000034,1.0000872511387893,6617.101145743163,5106.080246715947
dichrocooney,Predominant_simpleSecondary:Biome4TemperateForest,-9.910738194549734e-4,0.009843490749155102,-0.019924605149999997,0.018655568399999996,1.0001559334889323,5859.495011492301,4834.491038142022
dichrocooney,Predominant_simpleCropland:Biome4TemperateOpen,-0.056063099079785,0.023240657401987344,-0.10308560274999999,-0.011852841650000003,1.0002003119593597,2870.115417299274,3752.003200806059
dichrocooney,Predominant_simplePasture:Biome4TemperateOpen,-0.0459561777365275,0.023519999811452162,-0.092200585625,-2.593970345000523e-4,1.0017765109014198,2853.5425213921367,3620.2325223249163
